PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Email
40162583,Understanding the dandruff flare-up: A cascade of measurable and perceptible changes to scalp health.,2025,N/A,N/A,
40162337,Development of an atomic cluster expansion potential for iron and its oxides.,2025,N/A,N/A,
40162243,The 2025 Los Angeles Wildfires and Outpatient Acute Healthcare Utilization.,2025,N/A,N/A,
40162169,Height estimation in children and adolescents using body composition big data: Machine-learning and explainable artificial intelligence approach.,2025,Chung T; Kang J; Kim J,"Quality Management Team, The Global Prediction Co., Ltd, Gwangmyeong, Gyeonggi-do, Korea.; Research Team, The Global Prediction Co., Ltd, Gwangmyeong, Gyeonggi-do, Korea.; Research Team, The Global Prediction Co., Ltd, Gwangmyeong, Gyeonggi-do, Korea.",
40161600,Structural Connectome Analysis using a Graph-based Deep Model for Age and Dementia Prediction.,2025,N/A,N/A,
40155978,Causal estimation of the relationship between reproductive performance and the fecal bacteriome in cattle.,2025,Hayasaki K; Maeda N; Kanmera Y; Ota N; Mukawa K; Udagawa M,"Mirai Global Farm Co., Ltd, Miyakonojo, Miyazaki, 885-0225, Japan.; Mirai Global Farm Co., Ltd, Miyakonojo, Miyazaki, 885-0225, Japan.; Mirai Global Farm Co., Ltd, Miyakonojo, Miyazaki, 885-0225, Japan.; NOSAN Corporation, Yokohama, Kanagawa, 220-8146, Japan.; NOSAN Corporation, Yokohama, Kanagawa, 220-8146, Japan.; Keiyogas Energy Solution Co., Ltd., Ishikawa, Chiba, 272-0015, Japan.",h-miyamoto@faculty.chiba-u.jp
40155475,Alternative splicing analysis in a Spanish ASD (Autism Spectrum Disorders) cohort: in silico prediction and characterization.,2025,N/A,N/A,mariacristina.rodriguez.fontenla@usc.es
40155388,Predicting all-cause mortality with machine learning among Brazilians aged 50 and over: results from The Brazilian Longitudinal Study of Ageing (ELSI-Brazil).,2025,N/A,N/A,fmdsocial@outlook.com
40155363,Vocal biomarkers correlate with FEV1 variations during methacholine challenge.,2025,Costanzo G; Merigo M; Puggioni F; Ferri S; Messina MR; Savevski V,"Personalized Medicine, Asthma and Allergy, IRCCS Humanitas Research Hospital, Rozzano, Italy.; Personalized Medicine, Asthma and Allergy, IRCCS Humanitas Research Hospital, Rozzano, Italy.; Personalized Medicine, Asthma and Allergy, IRCCS Humanitas Research Hospital, Rozzano, Italy.; Personalized Medicine, Asthma and Allergy, IRCCS Humanitas Research Hospital, Rozzano, Italy.; Personalized Medicine, Asthma and Allergy, IRCCS Humanitas Research Hospital, Rozzano, Italy.; Artificial Intelligence Center, IRCCS Humanitas Research Hospital, Rozzano, Italy.",
40153546,Accuracy of Smartphone-Mediated Snore Detection in a Simulated Real-World Setting: Algorithm Development and Validation.,2025,N/A,N/A,
